Column,Código,Carpeta,Expediente,Tipo documental,Título,Descripción,Autor,Fecha inicial,Fecha final,B/N o Color,Dimensiones,Observaciones,publicable,Número de imágenes,Personajes,img,Column2,Column3,Formato,ruta_doc,doc_existe,ruta_alta,alta_existe,ruta_media,media_existe,archivos_media,ruta_baja,baja_existe,ruta_mini,mini_existe,urls
0,HD_CP01_EXP01_HC01,CP01,EXP01,Hoja de contacto, ,Hoja de contacto con rollo de 36 exposiciones ,Hernán Díaz ,,,Blanco y negro,Hoja de contacto,,1,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/MEDIA/,1,"/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/MEDIA/HD_CP01_EXP01_HC01r.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/MEDIA/HD_CP01_EXP01_HC01v.jpg",/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_HC01/MINI,1,"http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_HC01r.jpg,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_HC01v.jpg"
1,HD_CP01_EXP01_NEG01_FOT01,CP01,EXP01, Negativo,,Fotografía de Rafael Moure tomada por Hernán Díaz en la que Rafael se encuentra apoyando su cabeza sobre su mano y su brazo sobre su rodilla. ,Hernán Díaz ,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,Rafael Moure,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01/MEDIA/HD_CP01_EXP01_NEG01_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT01.jpg
2,HD_CP01_EXP01_NEG01_FOT02,CP01,EXP01,Negativo,,"Fotografía de Rafael Moure tomada por Hernán Díaz en la que Rafael se encuentra apoyando su cabeza sobre su mano y su brazo sobre su rodilla. En la presente, fija su mirada a la cámara.",Hernán Díaz ,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,Rafael Moure,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02/MEDIA/HD_CP01_EXP01_NEG01_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT02.jpg
3,HD_CP01_EXP01_NEG01_FOT03,CP01,EXP01,Negativo,,"Fotografía de Hernán Díaz tomada por Rafael Moure en la que se encuentra sentado en un sofa, con un cigarrillo en la mano y la cabeza inclinada hacia arriba, expulsando el humo.",Rafael Moure,,,Blanco y negro,35 mm,La imagen en la NAS está en espejo y en el Excel está arreglada.,1,1,Hernán Díaz ,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03/MEDIA/HD_CP01_EXP01_NEG01_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT03.jpg
4,HD_CP01_EXP01_NEG01_FOT04,CP01,EXP01,Negativo,,"Fotografía de Hernán Díaz tomada por Rafael Moure, en la que Hernán se encuentra de perfil, con la mirada clavada al lente.",Rafael Moure,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,Hernán Díaz ,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04/MEDIA/HD_CP01_EXP01_NEG01_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT04.jpg
5,HD_CP01_EXP01_NEG01_FOT05,CP01,EXP01,Negativo,,"Fotografía de Hernán Díaz tomada por Rafael Moure, Henán se encuentra sentado en un sofa, apoya su mano en la rodilla, mientras sostiene un cigarrillo en la misma mano. ",Rafael Moure,,,Blanco y negro,35 mm,La imagen en la NAS está en espejo y en el Excel está arreglada.,1,1,Hernán Díaz ,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05/MEDIA/HD_CP01_EXP01_NEG01_FOT05.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT05/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT05.jpg
6,HD_CP01_EXP01_NEG01_FOT06,CP01,EXP01,Negativo,,"Fotografía de Hernán Díaz tomada por Rafael Moure,  Hernán se encuentra sentado en un sofa. Está fumando un cigarrillo, lo sostiene con dos dedos mientras lo combustiona en la boca.",Rafael Moure,,,Blanco y negro,35 mm,La imagen en la NAS está en espejo y en el Excel está arreglada.,1,1,Hernán Díaz ,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06/MEDIA/HD_CP01_EXP01_NEG01_FOT06.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG01/HD_CP01_EXP01_NEG01_FOT06/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG01_FOT06.jpg
7,HD_CP01_EXP01_NEG02_FOT01,CP01,EXP01,Negativo,,"Fotografía tomada por Hernán Díaz a los mellizos. En ella, aparecen Jorge y Álvaro Díaz acompañados por más niños, quiénes están en la presencia de un elefante, el cual parece ser la atracción principal. ",Hernán Díaz ,,,Blanco y negro,35 mm,La imagen en la NAS está en espejo y en el Excel está arreglada.,1,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01/MEDIA/HD_CP01_EXP01_NEG02_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG02_FOT01.jpg
8,HD_CP01_EXP01_NEG02_FOT02,CP01,EXP01,Negativo,,"Fotografía tomada por Hernán Díaz a los mellizos. En ella, aparecen Jorge y Álvaro Díaz acompañados por más niños, quiénes están en la presencia de un elefante, el cual parece ser la atracción principal. ",Hernán Díaz ,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02/MEDIA/HD_CP01_EXP01_NEG02_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG02_FOT02.jpg
9,HD_CP01_EXP01_NEG02_FOT03,CP01,EXP01,Negativo,,"Fotografía presuntamente tomada por Hernán Díaz a los mellizos. En ella, aparecen Jorge y Álvaro Díaz acompañados por más niños, quiénes están en la presencia de un elefante, el cual parece ser la atracción principal. ",Hernán Díaz ,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03/MEDIA/HD_CP01_EXP01_NEG02_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG02_FOT03.jpg
10,HD_CP01_EXP01_NEG02_FOT04,CP01,EXP01,Negativo,,"Fotografía tomada por Hernán Díaz a los mellizos. En ella, aparecen Jorge y Álvaro Díaz acompañados por más niños, quiénes están en la presencia de un elefante, el cual parece ser la atracción principal. ",Hernán Díaz ,,,Blanco y negro,35 mm,Este archivo fue seleccionado para NO ser publicado. La imagen en la NAS está en espejo y en el Excel está arreglada.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04/MEDIA/HD_CP01_EXP01_NEG02_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP01/HD_CP01_EXP01/HD_CP01_EXP01_NEG02/HD_CP01_EXP01_NEG02_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP01_EXP01_NEG02_FOT04.jpg
